title,link,tag,desc,page
Fauci stonewalled COVID information because he was ‘embarrassed’: Steve Hilton,https://www.foxnews.com/video/6323726476112,VIDEO,"‘The Next Revolution’ host Steve Hilton discusses growing concern over the origins of COVID-19 and reacts to Rep. Alexandria Ocasio-Cortez, D-N.Y., storming off after a confrontation with the Libs of TikTok creator.",https://www.foxnews.com/category/health/infectious-disease/coronavirus
Fox News Poll: Majority says Biden trying to cover up origins of COVID-19,https://www.foxnews.com/official-polls/fox-news-poll-majority-says-biden-trying-cover-up-origins-covid-19,FOX NEWS POLL,A majority of voters think the coronavirus leaked from a lab in China and the Biden administration is trying to cover up its origins.,https://www.foxnews.com/category/health/infectious-disease/coronavirus
Democrats tried to censor Big Tech censorship testimony: Rep. Jim Jordan,https://www.foxnews.com/video/6323665302112,VIDEO,"House Judiciary Committee Chairman Rep. Jim Jordan, R-Ohio, reacts to Sen. Eric Schmitt accusing the Biden administration of engaging in the 'largest speech censorship operation in recent history.' ",https://www.foxnews.com/category/health/infectious-disease/coronavirus
House Democrats frustrated after Biden’s reversal on COVID-19 emergency measure,https://www.foxnews.com/politics/house-democrats-frustrated-after-bidens-reversal-on-covid-19-emergency-measure,POLITICS,House Democrats are frustrated with the White House after the Biden administration said the president wouldn't veto a bill to end the COVID-19 pandemic national emergency.,https://www.foxnews.com/category/health/infectious-disease/coronavirus
"WHO updates COVID vaccine recommendations, deems healthy kids a low priority",https://www.foxnews.com/video/6323661978112,VIDEO,Former CDC Director Dr. Robert Redfield calls the World Health Organization’s recommendations ‘thoughtful’ and says the vaccination helps prevent COVID deaths but should not be mandated.,https://www.foxnews.com/category/health/infectious-disease/coronavirus
"India's capital plans to increase testing for COVID-19, encourage use of masks after increase in cases",https://www.foxnews.com/world/indias-capital-plans-increase-testing-covid-19-encourage-masks-after-increase-cases,INDIA,"India's capitol is encouraging residents to wear masks and get tested for coronavirus after an increase in cases. India recorded 3,016 new cases of COVID-19 in the last 24 hours.",https://www.foxnews.com/category/health/infectious-disease/coronavirus
WHO releases new COVID vaccine guidance,https://www.foxnews.com/video/6323656400112,VIDEO,Fox News contributor Dr. Marc Siegel explains the change in priority as the new World Health Organization recommendations put healthy kids and teens in the low priority group.,https://www.foxnews.com/category/health/infectious-disease/coronavirus
People returning to Manhattan after many fled during lockdown,https://www.foxnews.com/us/people-returning-manhattan-after-fled-during-lockdown,NEW YORK,"Many people left Manhattan after the COVID-19 pandemic lockdowns began. According to population estimates, people are returning to the city now that restrictions have eased.",https://www.foxnews.com/category/health/infectious-disease/coronavirus
COVID vaccine fatigue: Study explores why many are refusing booster shots,https://www.foxnews.com/health/covid-vaccine-fatigue-study-explores-many-refusing-booster-shots,HEALTH,"A recent study found that respondents’ “readiness to get vaccinated"" was relatively low, suggesting that many people have entered a state of ""COVID vaccine fatigue.""",https://www.foxnews.com/category/health/infectious-disease/coronavirus
"Biden 'strongly opposes' resolution ending COVID-19 national emergency, but won't veto it after Senate vote",https://www.foxnews.com/politics/biden-strongly-opposes-resolution-ending-covid-19-national-emergency-wont-veto-senate-vote,CORONAVIRUS,"President Biden will not veto a resolution ending the COVID-19 national emergency that the U.S. Senate passed on a 68-23 vote on Wednesday, A White House spokesperson said.",https://www.foxnews.com/category/health/infectious-disease/coronavirus
"Biden admin led massive 'speech censorship operation,' former state AG will testify",https://www.foxnews.com/politics/biden-admin-colluded-with-social-media-giants-to-censor-free-speech-missouri-louisiana-officials-to-say,HOUSE OF REPRESENTATIVES,"FIRST ON FOX: The Biden administration has led “the largest speech censorship operation in recent history"" by working with social media companies to suppress and censor information that was later admitted to be “truthful or credible,"" former Missouri attorney general, now-Sen. Eric Schmitt is expected to tell the House Weaponization Committee Thursday.",https://www.foxnews.com/category/health/infectious-disease/coronavirus
"COVID vaccines are not needed for healthy kids and teens, says World Health Organization",https://www.foxnews.com/health/covid-vaccines-not-needed-healthy-kids-teens-world-health-organization,HEALTH,"Healthy kids and teens likely don’t need COVID-19 vaccinations, says updated guidance on the World Health Organization's (WHO) website. Healthy adults under 60 need the vaccine series and a booster.",https://www.foxnews.com/category/health/infectious-disease/coronavirus
Youth UN adviser says climate change needs to be treated like COVID-19: 'An emergency',https://www.foxnews.com/politics/youth-un-adviser-says-climate-change-needs-treated-covid-19-emergency,CLIMATE CHANGE,"Sophia Kianni, an youth climate activist recently hired by the United Nations as an adviser, is calling for governments to implement pandemic measures to fight global warming.",https://www.foxnews.com/category/health/infectious-disease/coronavirus
Rand Paul staffer on the mend after stabbing attack in Washington D.C. in broad daylight,https://www.foxnews.com/video/6323596285112,VIDEO,"Sen. Rand Paul, R-Ky., on the need for large cities to keep violent criminals behind bars and holding Dr. Fauci responsible for COVID response",https://www.foxnews.com/category/health/infectious-disease/coronavirus
"Law school grad says he was suspended, forced to undergo psych eval for questioning school's COVID policies",https://www.foxnews.com/media/law-school-grad-says-suspended-forced-undergo-psych-eval-questioning-schools-covid-policies,FOX NEWS FLASH,Georgetown University law school graduate William Spruance shares how he was allegedly forced to undergo a psychiatric evaluation for questioning the school's COVID policies.,https://www.foxnews.com/category/health/infectious-disease/coronavirus
Trump rally goes silent after he attempts to mock DeSantis,https://www.foxnews.com/politics/trump-rally-goes-silent-after-he-attempts-mock-desantis,DONALD TRUMP,"Former President Donald Trump was critical of Florida Gov. Ron DeSantis during a weekend rally in Texas, but some of the speech fell flat on the audience in Waco.",https://www.foxnews.com/category/health/infectious-disease/coronavirus
Why antibiotics may not help patients survive their viral infections: new research,https://www.foxnews.com/health/why-antibiotics-may-not-help-patients-survive-viral-infections-research,HEALTH,"New research is troubling: Most patients who are admitted to hospitals with acute viral infections are given antibiotics by doctors, yet this does not help those patients' survival rates.",https://www.foxnews.com/category/health/infectious-disease/coronavirus
DeSantis targets Trump's past praise of Fauci as issue to exploit in potential 2024 match up,https://www.foxnews.com/politics/desantis-targets-trumps-past-praise-fauci-as-issue-exploit-potential-2024-match-up,DONALD TRUMP,"Donald Trump awarded Anthony Fauci for his work on the COVID vaccine, potentially fueling Florida Gov. Ron DeSantis' line of attack about Trump's handling of the pandemic.",https://www.foxnews.com/category/health/infectious-disease/coronavirus
WaPo columnist parties with celebrities maskless after months decrying 'horrifying' unmasked crowds,https://www.foxnews.com/media/wapo-columnist-parties-celebrities-maskless-months-decrying-horrifying-unmasked-crowds,MEDIA,Washington Post columnist Taylor Lorenz was seen maskless in a photo on Twitter Thursday despite previously attacking people for not wearing masks.,https://www.foxnews.com/category/health/infectious-disease/coronavirus
The deadly superbug CDC is warning everyone about,https://www.foxnews.com/opinion/deadly-superbug-cdc-is-warning-everyone-about,OPINION,"The deadly superbug CDC is warning everyone about has two ways it can affect your body. Fungus might sound similar to TV show, but it’s not ‘The Last of Us.’",https://www.foxnews.com/category/health/infectious-disease/coronavirus
This was not the way to execute science: Dr. Houman Hemmati,https://www.foxnews.com/video/6323289227112,VIDEO,Dr. Houman Hemmati discusses how the White House is reportedly set to disband the COVID-19 task force and the massive increase in vaccine prices on ‘Fox News @ Night.’,https://www.foxnews.com/category/health/infectious-disease/coronavirus
TUCKER CARLSON: This is an extraordinary amount of lying,https://www.foxnews.com/opinion/tucker-carlson-extraordinary-amount-lying,OPINION,"Fox News host Tucker Carlson calls out lying politicians and explains the consequences of their actions on Friday's ""Tucker Carlson Tonight.""",https://www.foxnews.com/category/health/infectious-disease/coronavirus
Biden White House urged Meta to crack down on 'vaccine-skeptical' content on WhatsApp private chat platform,https://www.foxnews.com/media/biden-white-house-urged-meta-crack-down-vaccine-skeptical-content-whatsapp-private-chat-platform,WHITE HOUSE,Independent journalist David Zweig shed light on newly-released emails showing the Biden administration pressing Meta to moderate private messages sent on Whatsapp.,https://www.foxnews.com/category/health/infectious-disease/coronavirus
Musk clashes with WHO director over global pandemic treaty,https://www.foxnews.com/politics/musk-clashes-who-director-global-pandemic-treaty,ELON MUSK,Elon Musk and WHO Director-General Tedros Adhanom Ghebreyesus battled over the potential dangers of a sweeping global agreement under discussion to combat future pandemics.,https://www.foxnews.com/category/health/infectious-disease/coronavirus
"MA approves spending plan to extend COVID-19 programs including outdoor dining regulations, to-go cocktails",https://www.foxnews.com/us/ma-approves-spending-plan-extend-covid-19-programs-including-outdoor-dining-regulations-go-cocktails,MASSACHUSETTS,"Lawmakers in Massachusetts approved a spending plan that would extend COVID-19 programs including outdoor dining, to-go alcohol sales, and remote access to public meetings.",https://www.foxnews.com/category/health/infectious-disease/coronavirus
Federal court rejects Biden vaccine mandate for federal workers,https://www.foxnews.com/politics/federal-court-rejects-biden-vaccine-mandate-federal-workers,JOE BIDEN,The U.S. Court of Appeals for the Fifth Circuit in New Orleans has upheld a lower court ruling blocking President Biden's COVID-19 vaccine mandate for federal employees from being enforced.,https://www.foxnews.com/category/health/infectious-disease/coronavirus
Maine chief justice says case backlogs 'hurt her heart',https://www.foxnews.com/politics/maine-chief-justice-says-case-backlogs-hurt-heart,MAINE,"Maine Supreme Judicial Court Chief Justice Valerie Stanfill said Thursday that the Pine Tree State's post-pandemic surge in backlogged court cases ""hurts her heart.""",https://www.foxnews.com/category/health/infectious-disease/coronavirus
Wife of Connecticut Democrat involved in COVID fraud scheme gets 6 months,https://www.foxnews.com/politics/wife-connecticut-democrat-involved-covid-fraud-scheme-6-months,CONNECTICUT,"Lauren DiMassa, wife of former Democratic Connecticut state Rep. Michael DiMassa, has been sentenced to six months in federal prison for her role in a COVID-19 relief scam.",https://www.foxnews.com/category/health/infectious-disease/coronavirus
GOP mom fed up with crime seeks to oust Democratic socialist on AOC's turf,https://www.foxnews.com/video/6323167976112,VIDEO,"Republican New York mom Kelly Klingman says soaring crime and poorly performing schools in her neighborhood pushed her to take on 'defund the police' Democratic Councilwoman Tiffany Caban for her Astoria, Queens seat.",https://www.foxnews.com/category/health/infectious-disease/coronavirus
"CDC focused on developing DEI training amid peak school shutdowns, documents show",https://www.foxnews.com/media/cdc-focused-developing-dei-training-amid-peak-school-shutdowns-documents-show,EDUCATION,"CDC leadership was focused on internal equity trainings in March 2021 while Americans waited to hear when their kids would be back in the classroom, new records show.",https://www.foxnews.com/category/health/infectious-disease/coronavirus
Lonely Chinese inventor creates creepy kissing machine after lockdown barred him from seeing girlfriend,https://www.foxnews.com/world/lonely-chinese-inventor-creates-kissing-machine-lockdown-barred-seeing-girlfriend,CHINA,A Chinese inventor teamed up with a company to unveil a kissing machine that came about when the inventor was unable to see his girlfriend during coronavirus lockdowns.,https://www.foxnews.com/category/health/infectious-disease/coronavirus
Former Connecticut city employee sentenced to over a year in prison for role in COVID-19 fund theft,https://www.foxnews.com/us/former-connecticut-city-employee-sentenced-over-year-prison-role-covid-19-fund-theft,CONNECTICUT,"John Bernardo, a former city employee in Connecticut, has been sentenced to over a year in prison for his role in a COVID-19 fund theft case. He was also ordered to pay almost $59,000 in restitution.",https://www.foxnews.com/category/health/infectious-disease/coronavirus
This Florida approach to an alarming teen crisis is a paradigm shift,https://www.foxnews.com/opinion/florida-approach-alarming-teen-crisis-paradigm-shift,OPINION,"42 percent of high school students experienced depression, or persistent feelings of sadness, and 22 percent seriously considered suicide.",https://www.foxnews.com/category/health/infectious-disease/coronavirus
This will be the end to Fauci's NIH as we know it,https://www.foxnews.com/opinion/end-faucis-nih,OPINION,"Dr. Fauci used his position to finance gain-of-function experiments on bat coronaviruses in China, bypassing a security protocol to screen out projects that posed too much risk.",https://www.foxnews.com/category/health/infectious-disease/coronavirus
White House to disband Covid response team in May: report,https://www.foxnews.com/us/white-house-disband-covid-response-team,CORONAVIRUS,"The White House will disband its covid response team by May as the pandemic continues to recede, according to reports.",https://www.foxnews.com/category/health/infectious-disease/coronavirus
"Sen. Johnson, Sec. Becerra spar over redactions to Fauci emails provided to senators",https://www.foxnews.com/video/6323099029112,VIDEO,"Senator Ron Johnson, R-Wis., and HHS Secretary Xavier Becerra sparred during a Senate Finance Committee hearing on Wednesday over the secretary's agency providing redacted emails from Dr. Anthony Fauci to senators who requested them.",https://www.foxnews.com/category/health/infectious-disease/coronavirus
"Bees and bullets: Defiant tenants use violence, bizarre 'weapons' to fight eviction notices",https://www.foxnews.com/us/bees-bullets-defiant-tenants-use-violence-bizarre-weapons-fight-eviction-notices,POLICE AND LAW ENFORCEMENT,Police across the country are reporting violent interactions when serving eviction notices. The attacks are increasing by as much as 30% in Washington state alone.,https://www.foxnews.com/category/health/infectious-disease/coronavirus
Biden's DOJ is quietly trying to orchestrate taxpayer-funded bailout of Moderna,https://www.foxnews.com/politics/bidens-doj-quietly-trying-orchestrate-taxpayer-funded-bailout-moderna,CORONAVIRUS,"The Department of Justice recently sided with pharmaceutical giant and COVID-19 vaccine maker Moderna, which has argued taxpayers should be liable for potential patent infringement.",https://www.foxnews.com/category/health/infectious-disease/coronavirus
DeSantis highlights differences with Trump: 'I would have fired' Fauci,https://www.foxnews.com/politics/desantis-highlights-differences-trump-i-would-have-fired-fauci,RON DESANTIS,"Gov. Ron DeSantis, a top contender for the 2024 GOP nomination, said in an upcoming interview that he would have ""fired"" Fauci if president during the COVID-19 pandemic.",https://www.foxnews.com/category/health/infectious-disease/coronavirus
"Former Florida state lawmaker pleads guilty to laundering COVID relief money, could face 35 years in prison",https://www.foxnews.com/politics/former-florida-state-lawmaker-pleads-guilty-laundering-covid-relief-money-could-face-35-years-prison,FLORIDA,"Former Florida state Rep. Joseph Harding pleaded guilty to committing $150,000 in COVID-19 relief fraud. If convicted, he could face up to 35 years in prison.",https://www.foxnews.com/category/health/infectious-disease/coronavirus
China's capital Beijing experiences first population decline since 2003,https://www.foxnews.com/world/chinas-capital-beijing-experiences-first-population-decline-since-2003,CHINA,China's capital Beijing is experiencing its first population decline since 2003. China's population declined translated into weak economic growth.,https://www.foxnews.com/category/health/infectious-disease/coronavirus
