title,link,tag,desc,page
TikTok: McCaul says he 'can't think of a greater propaganda tool' for China,https://www.foxnews.com/politics/tiktok-mccaul-cant-think-greater-propaganda-tool-china,CHINA,"EXCLUSIVE: House Foreign Affairs Committee Chairman Michael McCaul said he “can’t think of a greater propaganda tool"" for China than TikTok, the app some are looking to ban.",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
"Steel, Cotton introduce bill to stop spread of CCP logistics software in America and abroad",https://www.foxnews.com/politics/steel-cotton-introduce-bill-stop-spread-ccp-logistics-software,POLITICS,Rep. Michelle Steel and Senator Tom Cotton are leading a bill to stop the spread of a Chinese state-owned logistics software tracking US commercial and military supply chains.,https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
Trump could reach ‘end of the road’ from indictment: Democratic Rep. Jeff Jackson,https://www.foxnews.com/video/6322858916112,VIDEO,"Rep. Jeff Jackson, D-N.C., says the Manhattan district attorney must prove Trump’s intent to conceal to indict him for a felony.",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
China has a plan to lead the world. What's ours?,https://www.foxnews.com/opinion/china-plan-lead-world-what-ours,OPINION,The China threat exceeds what most could have imagined.,https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
"Lawyer called 'racist,' 'Karen' by colleagues wins $170K in discrimination suit: 'I was cursed and badgered'",https://www.foxnews.com/media/lawyer-called-racist-karen-colleagues-wins-170k-discrimination-suit-cursed-badgered,MEDIA,"A Bronx law firm called The Bronx Defenders was reportedly forced to issue an apology and $170,000 settlement for alleged discrimination against a Zionist Jewish staffer.",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
Blinken to testify at House Foreign Affairs Committee on China threat,https://www.foxnews.com/politics/blinken-testify-house-foreign-affairs-committee-china-threat,STATE DEPARTMENT,FIRST ON FOX: Secretary of State Antony Blinken is expected to testify before the House Foreign Affairs Committee later this month.,https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
"North Korea fires short-range ballistic missile, South Korea says",https://www.foxnews.com/world/north-korea-fires-short-range-ballistic-missile-south-korea-says,NORTH KOREA,"South Korea's military said it detected a short-range ballistic missile launched from North Korea into the sea near its western coast on Thursday, following a threat from Kim Yo Jong, the sister of dictator Kim Jong-Un.",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
"McCarthy’s China mission: Give Biden a ‘backbone,’ ‘empower’ him to tackle the CCP threat",https://www.foxnews.com/politics/mccarthys-china-mission-biden-backbone-empower-tackle-ccp-threat,CHINA,House Speaker Kevin McCarthy said he intends to make policy that will give President Biden a “backbone” and “empower” him to tackle the emerging China threat.,https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
Chad Pergram: China could bring a 'divided' Congress together,https://www.foxnews.com/video/6321460424112,VIDEO,Fox News senior congressional correspondent Chad Pergram shares highlights from the bipartisan House China committee's first hearing on 'Fox News @ Night.',https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
House Foreign Affairs Chair McCaul leads GOP delegation to Kyiv,https://www.foxnews.com/politics/house-foreign-affairs-chair-mccaul-leads-gop-delegation-kyiv,UKRAINE,The House Foreign Affairs lawmakers met with the Ukrainian prosecutor general and President Zelenskyy during a trip aimed at conducting oversight as Ukraine defends itself from Russia.,https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
"North Korea confirms ICBM test, warns of more powerful steps in response to South Korea, US trainings",https://www.foxnews.com/world/north-korea-confirms-icbm-test-warns-more-powerful-steps-response-south-korea-us-trainings,WORLD,"North Korea confirmed Sunday it did conduct another intercontinental ballistic missile test on Feb. 18 in efforts to further bolster its ""fatal"" nuclear attack against its rivals.",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
China representative invited to Taiwan by Taipei mayor met by dozens of protestors,https://www.foxnews.com/world/china-representative-invited-taiwan-taipei-mayor-met-dozens-protestors,WORLD,"Li Xiaodong, Head of Shanghai city's Taiwan Affairs Office, was met by protestors at the Songshan Airport in Taiwan after being invited to the self-ruled island by Taipei's new mayor.",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
Nicaragua deports 222 dissident prisoners to US in 'unilateral' move,https://www.foxnews.com/world/nicaragua-deports-222-dissident-prisoners-us-unilateral-move,CENTRAL AMERICA,"The Biden administration said that Nicaragua's government made a unilateral decision to deport the prisoners, but that the U.S. welcomed the move and would support them.",https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
China's surprising intelligence operations take focus following 'watershed' spy flight,https://www.foxnews.com/world/chinas-surprising-intelligence-operations-take-focus-watershed-spy-flight,CHINA,China makes use of financial tools and blackmail to build influence over institutions and individuals to gain access to information and technologies in the U.S.,https://www.foxnews.com/category/politics/house-of-representatives/foreign-affairs
