true_title,predicted_title_original_bias,predicted_title_reverse_bias,bleu_score_original_bias,bleu_score_reverse_bias,original_view,reverse_view,mean_bleu_score
<start> personal health <end>            ,<start> personal health <end> ,<start> personal health <end> ,1.0,1.0,liberal,conservative,1.0
<start> north korea launches icbm <end>          ,<start> north korea launches new icbm test <end> ,<start> north korea launches new icbm test <end> ,0.75,0.75,liberal,conservative,0.75
<start> company news brookline bancorp to acquire mystic financial <end>      ,<start> technology briefing deals [UNK] financial to buy [UNK] financial <end> ,<start> company news [UNK] to buy [UNK] financial <end> ,0.36363636363636365,0.596559544542913,liberal,conservative,0.48009795408963835
<start> judge blocks rules intended to protect nations waterways <end>      ,<start> federal judge blocks states to block states water rule <end> ,<start> judge blocks the environment <end> ,0.45454545454545453,0.3422780793550613,conservative,liberal,0.39841176695025793
<start> cdc received handful of possible johnson johnson covid 19 vaccine adverse reports walensky says <end>,<start> cdc director says fda may have to investigate covid 19 vaccine data <end> ,<start> fda panel to investigate covid 19 vaccine guidance <end> ,0.43343894987509085,0.2744058180470132,conservative,liberal,0.353922383961052
<start> washington post columnist calls on the epa to regulate carbon emissions as a toxic <end>,<start> washington post column says climate change is [UNK] to be thrown in the environment <end> ,<start> washington post op ed [UNK] on climate change <end> ,0.375,0.2744058180470132,conservative,liberal,0.3247029090235066
<start> biden admin dragged for blaming botched afghanistan withdrawal on trump disgraceful and insulting <end> ,<start> gop congressmen slam biden admin over afghanistan withdrawal <end> ,<start> republicans slam biden state of afghanistan withdrawal <end> ,0.36391839582758007,0.2852317327958845,conservative,liberal,0.3245750643117323
<start> us navy warship successfully intercepts medium range ballistic missile in test <end>   ,<start> navy confirms new new missile test submarine test <end> ,<start> navy confirms new new icbm test <end> ,0.37040911034085894,0.26763071425949514,conservative,liberal,0.319019912300177
<start> united arab emirates to teach holocaust in schools <end>      ,<start> un to meet with world leaders to be [UNK] <end> ,<start> un to meet with world cup in middle east korea <end> ,0.2727272727272727,0.3333333333333333,conservative,liberal,0.303030303030303
<start> gasoline greener than biofuels <end>          ,<start> epa spends [UNK] methane emissions standard <end> ,<start> energy and energy <end> ,0.25,0.3274923012311928,conservative,liberal,0.2887461506155964
<start> 95 of recent wisconsin covid 19 fatalities involved patients not fully vaccinated <end>  ,<start> wisconsin health officials reject covid 19 vaccination deaths <end> ,<start> health officials seek covid 19 deaths <end> ,0.33516002301781966,0.23618327637050734,conservative,liberal,0.2856716496941635
