true_title,predicted_title,BLEU_score
<start> biden admin dragged for blaming botched afghanistan withdrawal on trump disgraceful and insulting <end> ,<start> biden says he wont have to be more than the country with plotting report <end> ,0.1875
<start> jordan blasts bragg lawsuit prosecutor upset congress wants oversight on his anti trump former <end>,<start> jim jordan demands answers from new york after being called out of any previous <end> ,0.1875
<start> new zealand government uses porn actors in ad campaign on cyber safety <end>  ,<start> social media dating app brings attention to the masses men in new york city <end> ,0.25
<start> gasoline greener than biofuels <end>          ,<start> cleaner energy saving the [UNK] of the dishes <end> ,0.2
<start> russian blogger anti kremlin activist attacked outside his apartment <end>     ,<start> german lawmaker says he was fired for criticizing french accent on the press conference <end> ,0.125
<start> dozens of colombian girls hospitalized with anxiety after playing with ouija board <end>  ,<start> teen girls fall after being [UNK] by uk open report <end> ,0.282160575
<start> its official the leap second will be retired a decade from now <end>  ,<start> as nations struggle to join the world wobbles <end> ,0.201096014
<start> judge blocks rules intended to protect nations waterways <end>      ,<start> federal judge blocks new york city to end covid 19 vaccine mandate <end> ,0.357142857
<start> ces 2019 7 technologies that will leave you a little speechless <end>   ,<start> how to know the new nasty [UNK] and the air force <end> ,0.153846154
<start> washington post columnist calls on the epa to regulate carbon emissions as a toxic <end>,<start> washington post warns of great salt orange continue to remove controversial climate change <end> ,0.311835662
<start> twitter hearing reveals incredible reality about who really defends free speech <end>   ,<start> mollie [UNK] [UNK] [UNK] admitting theres no crime problem with critics <end> ,0.153846154
<start> plastic laden plankton poop could be disastrous <end>       ,<start> can waterless plastic bags in new york sidestep cuomos new study finds <end> ,0.214285714
<start> garland refuses to examine civil rights claims of jan 6 defendants i dont know <end>,<start> doj treating investigations into controversial label that would be held in us <end> ,0.1238397
<start> basketball anderson getting an education <end>         ,<start> the playstation goggles are not a few times square <end> ,0.181818182
<start> mexican president goes viral for claim he has photo proof of mythical woodland elf <end>,<start> mexican beach turns into [UNK] after being [UNK] by the government <end> ,0.183212921
<start> company news brookline bancorp to acquire mystic financial <end>      ,<start> company news hartford financial to lead christian <end> ,0.596559545
<start> biden pledges 500 million to stop deforestation in brazil <end>     ,<start> biden aims to boost vaginal gummies and other growth <end> ,0.363636364
<start> rep yvette herrell after visiting holloman afb where 5000 afghans are living i have <end>,<start> us adapts to [UNK] to [UNK] in rural america <end> ,0.115406622
<start> united arab emirates to teach holocaust in schools <end>      ,<start> un education teams urge marshall to grow as persona in middle east <end> ,0.285714286
<start> merchant of landscapes the lasting footprint of a japanese gardener in mexico <end>  ,<start> the biggest [UNK] of the [UNK] of the skies <end> ,0.34604563
<start> north korea launches icbm <end>          ,<start> north korea fires back at cooper historical edge over 1200 <end> ,0.333333333
<start> personal health <end>            ,<start> personal health <end> ,1
<start> 95 of recent wisconsin covid 19 fatalities involved patients not fully vaccinated <end>  ,<start> wisconsin state officials say they are covid 19 testing while being used to last <end> ,0.3125
<start> us navy warship successfully intercepts medium range ballistic missile in test <end>   ,<start> us navy destroyer passes through sea of possible attack <end> ,0.303182879
<start> cdc received handful of possible johnson johnson covid 19 vaccine adverse reports walensky says <end>,<start> cdc panel says covid 19 origins could be recommended by treasury officials say <end> ,0.374202794
<start> iwc tries to capture the energy of the 70s <end>     ,<start> [UNK] adanis 100 years later its own [UNK] <end> ,0.180967484
<start> health personal health <end>           ,<start> personal health <end> ,0.778800783
<start> 7 brilliant ways your smartphone can help you get things done <end>   ,<start> how to know about the iphone scam <end> ,0.142484531
<start> nonbinary dr phil guest claims just because i gave birth doesnt make me a <end>,"<start> trans activist encourages inspiring women to be right thing, after declaring the world today <end> ",0.125
